timestamp,cpu_percent,rss_kb,vsz_kb
2026-02-19T21:21:06,0.0,35952,440265520
2026-02-19T21:21:16,0.0,35536,440265520
2026-02-19T21:21:26,0.0,38416,440264960
2026-02-19T21:21:36,2.1,50448,440292304
2026-02-19T21:21:46,0.0,43504,440291744
2026-02-19T21:21:56,0.0,37408,440291184
2026-02-19T21:22:06,0.0,37808,440291744
2026-02-19T21:22:16,0.0,37776,440291744
2026-02-19T21:22:26,0.0,41952,440291744
2026-02-19T21:22:36,0.0,42048,440291744
2026-02-19T21:22:46,0.0,37472,440291744
2026-02-19T21:22:56,0.0,41968,440291744
2026-02-19T21:23:06,0.0,37568,440291744
2026-02-19T21:23:16,0.0,37552,440291744
2026-02-19T21:23:26,0.0,33568,440291184
2026-02-19T21:23:36,0.0,34560,440291744
2026-02-19T21:23:46,0.0,32864,440291744
2026-02-19T21:23:56,0.0,38464,440291744
2026-02-19T21:24:06,0.0,33808,440291744
2026-02-19T21:24:16,0.1,32768,440279600
2026-02-19T21:24:26,0.0,27472,440279600
2026-02-19T21:24:37,0.0,28416,440279600
2026-02-19T21:24:47,0.0,33280,440279600
2026-02-19T21:24:57,0.0,33264,440279600
2026-02-19T21:25:07,0.0,28608,440279600
2026-02-19T21:25:17,0.0,27888,440279040
2026-02-19T21:25:27,0.0,27696,440279040
2026-02-19T21:25:37,0.0,29264,440279600
2026-02-19T21:25:47,0.0,27904,440279040
2026-02-19T21:25:57,0.0,27920,440279040
